,Log Loss Value,Accuracy Value,Train-Test Accuracy Difference Value
118,0.8923647750299409,0.6268656716417911,0.16417910447761186
217,0.7405832922308169,0.6716417910447762,0.07462686567164178
316,0.7097913196697965,0.6716417910447762,0.05472636815920395
415,0.6930458072999849,0.6753731343283582,0.05447761194029854
514,0.6765979931121605,0.6686567164179105,0.05870646766169152
613,0.6685284343774024,0.6666666666666666,0.05756929637526653
712,0.6622432990232296,0.6609808102345416,0.06343283582089554
811,0.6556303515903565,0.6604477611940298,0.06343283582089554
226,0.745394025182594,0.6281094527363185,0.10055491771909675
325,0.7562867971125372,0.6172707889125799,0.11549395877754087
424,0.7668101015694673,0.6119402985074627,0.12329656067488648
523,0.7735533693859765,0.6086235489220564,0.12710955028777682
622,0.7768881446206761,0.6052238805970149,0.133974862529458
721,0.7760979830042204,0.6004070556309362,0.1402645861601085
