,Log Loss Value,Accuracy Value,Train-Test Accuracy Difference Value
118,0.6243103712999828,0.6548507462686567,0.12126865671641796
217,0.5964081966563032,0.6801705756929638,-0.008528784648187626
316,0.5930791735248361,0.6915422885572139,-0.02985074626865669
415,0.5937548995186891,0.6955223880597015,0.005970149253731405
514,0.6178337107675934,0.6940298507462687,0.007462686567164201
613,0.618911114480305,0.6766169154228856,0.01990049751243783
712,0.5993883498946149,0.6865671641791045,0.034115138592750505
811,0.5724408717167098,0.7014925373134329,0.016791044776119368
226,0.5933109472662474,0.681592039800995,0.03482587064676612
325,0.5902723287309987,0.6865671641791045,0.03482587064676623
424,0.6032568230595463,0.6809701492537313,0.03171641791044777
523,0.6206557216805714,0.6791044776119403,0.03731343283582089
622,0.6178696785954503,0.6753731343283582,0.04850746268656714
721,0.6007846367408414,0.6791044776119403,0.04584221748400852
