,Log Loss Value,Accuracy Value,Train-Test Accuracy Difference Value
118,0.7588661811886924,0.6343283582089553,0.24626865671641784
217,0.6436120500853689,0.697228144989339,0.0714285714285714
316,0.6355503444602784,0.6791044776119403,0.10696517412935325
415,0.6047009815145159,0.6477611940298508,0.12835820895522387
514,0.6151063302860953,0.6865671641791045,0.08656716417910448
613,0.6330223585440351,0.6666666666666666,0.08706467661691542
712,0.5790808839721331,0.6940298507462687,0.05863539445628996
811,0.5887614552089206,0.7164179104477612,0.03731343283582089
226,0.6509915362464391,0.6890547263681592,0.1393034825870646
325,0.6263966383332578,0.6805970149253732,0.1303482587064676
424,0.6022755567403941,0.6809701492537313,0.09141791044776115
523,0.6221948972172003,0.6716417910447762,0.08059701492537308
622,0.6403233213486158,0.6716417910447762,0.08955223880597007
721,0.5537231790087376,0.7238805970149254,0.039445628997867854
