,Log Loss Value,Accuracy Value,Train-Test Accuracy Difference Value
118,0.6662149156974231,0.6417910447761194,0.20895522388059706
217,0.6035907495984614,0.6844349680170576,0.09168443496801704
316,0.6039679730730284,0.6840796019900498,0.062189054726368154
415,0.5926881082223814,0.6895522388059702,0.07910447761194028
514,0.6187003387182236,0.6791044776119403,0.07910447761194028
613,0.6178393925545886,0.6567164179104478,0.09452736318407962
712,0.5860591541118554,0.7014925373134329,0.05543710021321957
811,0.5776621430461872,0.7164179104477612,0.03917910447761197
226,0.6002829949979239,0.6890547263681592,0.1169154228855721
325,0.605008219647723,0.673134328358209,0.12786069651741294
424,0.6059916862658754,0.6809701492537313,0.08395522388059706
523,0.6120837844970186,0.6791044776119403,0.10000000000000009
622,0.6208557800599497,0.667910447761194,0.09328358208955223
721,0.5954535841232911,0.7014925373134329,0.05117270788912576
